"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Taloni A.; Coco G.; Pellegrini M.; Wjst M.; Salgari N.; Carnovale-Scalzo G.; Scorcia V.; Busin M.; Giannaccare G.","Taloni, Andrea (56891258500); Coco, Giulia (56443822600); Pellegrini, Marco (57200399011); Wjst, Matthias (7007024824); Salgari, Niccolò (56040111200); Carnovale-Scalzo, Giovanna (6503996332); Scorcia, Vincenzo (24554546300); Busin, Massimo (57205977383); Giannaccare, Giuseppe (55753474700)","56891258500; 56443822600; 57200399011; 7007024824; 56040111200; 6503996332; 24554546300; 57205977383; 55753474700","Exploring Detection Methods for Synthetic Medical Datasets Created with a Large Language Model","2025","JAMA Ophthalmology","143","6","","517","522","5","2","10.1001/jamaophthalmol.2025.0834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004009219&doi=10.1001%2fjamaophthalmol.2025.0834&partnerID=40&md5=a5565631f78630949847b33e03121d91","Article","Final","","Scopus","2-s2.0-105004009219"
"Pellegrini M.; Yu A.C.; Busin M.","Pellegrini, Marco (57200399011); Yu, Angeli Christy (57216633741); Busin, Massimo (57205977383)","57200399011; 57216633741; 57205977383","Deep anterior lamellar keratoplasty for keratoconus: Elements for success","2022","Saudi Journal of Ophthalmology","36","1","","36","41","5","9","10.4103/sjopt.sjopt_100_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136992144&doi=10.4103%2fsjopt.sjopt_100_21&partnerID=40&md5=0e451b3a6f68ce29c6768cb0145252f1","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136992144"
"Yu A.C.; Spena R.; Fusco F.; Dondi R.; Myerscough J.; Fabbri F.; Bovone C.; Busin M.","Yu, Angeli Christy (57216633741); Spena, Rossella (57202377384); Fusco, Fiorella (57192959131); Dondi, Riccardo (57381718700); Myerscough, James (56155557300); Fabbri, Federica (57382423600); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","57216633741; 57202377384; 57192959131; 57381718700; 56155557300; 57382423600; 24476942500; 57205977383","Long-Term Outcomes of Two-Piece Mushroom Keratoplasty for Traumatic Corneal Scars","2022","American Journal of Ophthalmology","236","","","20","31","11","11","10.1016/j.ajo.2021.09.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121481315&doi=10.1016%2fj.ajo.2021.09.036&partnerID=40&md5=3cc1263de14270b27e914093109b118e","Article","Final","","Scopus","2-s2.0-85121481315"
"Myerscough J.; Roberts H.W.; Yu A.C.; Mimouni M.; Furiosi L.; Mandrioli M.; Giannaccare G.; Busin M.","Myerscough, James (56155557300); Roberts, Harry William (56030249800); Yu, Angeli Christy (57216633741); Mimouni, Michael (56351846100); Furiosi, Luca (57217492848); Mandrioli, Matteo (56043216700); Giannaccare, Giuseppe (55753474700); Busin, Massimo (57205977383)","56155557300; 56030249800; 57216633741; 56351846100; 57217492848; 56043216700; 55753474700; 57205977383","Factors predictive of cystoid macular oedema following endothelial keratoplasty: a single-centre review of 2233 cases","2023","British Journal of Ophthalmology","107","1","","24","29","5","6","10.1136/bjophthalmol-2020-318076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111408038&doi=10.1136%2fbjophthalmol-2020-318076&partnerID=40&md5=283a12acc7b4a2f8aa77986d6fd7ff1b","Article","Final","","Scopus","2-s2.0-85111408038"
"Myerscough J.; Friehmann A.; Bovone C.; Mimouni M.; Busin M.","Myerscough, James (56155557300); Friehmann, Asaf (57195409883); Bovone, Cristina (24476942500); Mimouni, Michael (56351846100); Busin, Massimo (57205977383)","56155557300; 57195409883; 24476942500; 56351846100; 57205977383","Management of Type 2 Bubble Formed during Big-Bubble Deep Anterior Lamellar Keratoplasty","2019","Cornea","38","6","","E20","","","12","10.1097/ICO.0000000000001940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066160273&doi=10.1097%2fICO.0000000000001940&partnerID=40&md5=537c968572920f9d8f585d7390402aec","Letter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85066160273"
"Raz D.; Ben-Yaakov K.; Levi M.; Bertolin M.; Ferrari S.; Ponzin D.; Busin M.; Leiba H.; Marcovich A.L.; Eisenberg-Lerner A.; Rotfogel Z.","Raz, Daniel (57549474300); Ben-Yaakov, Keren (8280269700); Levi, Michal (59164298800); Bertolin, Marina (36460616100); Ferrari, Stefano (57190211074); Ponzin, Diego (6603422101); Busin, Massimo (57205977383); Leiba, Hana (6701692206); Marcovich, Arie L. (6602587449); Eisenberg-Lerner, Avital (22940040100); Rotfogel, Ziv (51764275600)","57549474300; 8280269700; 59164298800; 36460616100; 57190211074; 6603422101; 57205977383; 6701692206; 6602587449; 22940040100; 51764275600","Mitochondria Transplantation Promotes Corneal Epithelial Wound Healing","2024","Investigative Ophthalmology and Visual Science","65","6","14","","","","5","10.1167/iovs.65.6.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195438619&doi=10.1167%2fiovs.65.6.14&partnerID=40&md5=a5d95af6695ce1d2cd9a4d353e7267d3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85195438619"
"Myerscough J.; Friehmann A.; Bovone C.; Busin M.","Myerscough, James (56155557300); Friehmann, Asaf (57195409883); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","56155557300; 57195409883; 24476942500; 57205977383","Autologous Descemet Stripping Automated Endothelial Keratoplasty to Eliminate Endothelial Rejection in Eyes at High Risk","2020","Cornea","39","5","","666","668","2","0","10.1097/ICO.0000000000002184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082779697&doi=10.1097%2fICO.0000000000002184&partnerID=40&md5=aa2d5c76138da29be8456d2606aaeb3c","Article","Final","","Scopus","2-s2.0-85082779697"
"Yu A.C.; Myerscough J.; Socea S.; Furiosi L.; Spena R.; Bovone C.; Busin M.","Yu, Angeli Christy (57216633741); Myerscough, James (56155557300); Socea, Sergiu (56593220100); Furiosi, Luca (57217492848); Spena, Rossella (57202377384); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","57216633741; 56155557300; 56593220100; 57217492848; 57202377384; 24476942500; 57205977383","Interface Drainage and Antimicrobial Irrigation Avoid Repeat Keratoplasty for Post-DSAEK Cold Interface Abscess","2021","Cornea","40","9","","1207","1210","3","2","10.1097/ICO.0000000000002710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114075599&doi=10.1097%2fICO.0000000000002710&partnerID=40&md5=1116860104133819583deaa87cfd34cb","Article","Final","","Scopus","2-s2.0-85114075599"
"Pellegrini M.; Yu A.C.; Bovone C.; Adamo G.; Talli P.M.; Nasini F.; Ponzin D.; Busin M.; Mura M.","Pellegrini, Marco (57200399011); Yu, Angeli Christy (57216633741); Bovone, Cristina (24476942500); Adamo, Ginevra (57615329300); Talli, Pietro Maria (57131129400); Nasini, Francesco (56545643100); Ponzin, Diego (6603422101); Busin, Massimo (57205977383); Mura, Marco (57208548443)","57200399011; 57216633741; 24476942500; 57615329300; 57131129400; 56545643100; 6603422101; 57205977383; 57208548443","OUTCOMES OF DESCEMET MEMBRANE EPIRETINAL GRAFT FOR REFRACTORY MACULAR HOLE CLOSURE","2025","Retina","45","7","","1347","1352","5","2","10.1097/IAE.0000000000004448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001648185&doi=10.1097%2fIAE.0000000000004448&partnerID=40&md5=da0095493b9ddc26dd37a2ff965eb65a","Article","Final","","Scopus","2-s2.0-105001648185"
"Scorcia V.; Giannaccare G.; Lucisano A.; Soda M.; Scalzo G.C.; Myerscough J.; Pellegrini M.; Verdoliva F.; Piccoli G.; Bovone C.; Busin M.","Scorcia, Vincenzo (24554546300); Giannaccare, Giuseppe (55753474700); Lucisano, Andrea (54923648200); Soda, Mauro (57209242222); Scalzo, Giovanna Carnovale (6503996332); Myerscough, James (56155557300); Pellegrini, Marco (57200399011); Verdoliva, Francesco (55325692300); Piccoli, Gabriele (57208838633); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","24554546300; 55753474700; 54923648200; 57209242222; 6503996332; 56155557300; 57200399011; 55325692300; 57208838633; 24476942500; 57205977383","Reply To Comment on Predictors of Bubble Formation and Type Obtained With Pneumatic Dissection During Deep Anterior Lamellar Keratoplasty in Keratoconus","2020","American Journal of Ophthalmology","216","","","289","","","0","10.1016/j.ajo.2020.04.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086923870&doi=10.1016%2fj.ajo.2020.04.027&partnerID=40&md5=c2db9eb82c3a4eb00c3a05d8079b6a7f","Letter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85086923870"
